organism,n_nodes,n_edges,mean_degree,mean_excess_degree,multiplicity,connected_pairs
Anas_platyrhynchos,3,2,1.3333333,0.5,1,1
Anopheles_gambiae_PEST,2,1,1,0,1,1
Apis_mellifera,2,1,1,0,1,1
Arabidopsis_thaliana_Columbia,11771,73413,12.473537,86.732936,23.666153,0.97115658
Bacillus_subtilis_168,9,7,1.5555556,1.1428571,0.25,0.22222222
Bos_taurus,609,586,1.9244663,8.331058,0.49911416,0.16244274
Caenorhabditis_elegans,9096,41997,9.2341689,174.83863,16.230056,0.93831771
Candida_albicans_SC5314,952,1286,2.7016807,51.673406,4.3714599,0.76954378
Canis_familiaris,530,538,2.0301887,160.38848,5.487249,0.81693476
Cavia_porcellus,14,8,1.1428571,0.25,0.10989011,0.10989011
Chlamydomonas_reinhardtii,19,15,1.5789474,3.7333333,0.41520468,0.41520468
Chlorocebus_sabaeus,88,61,1.3863636,0.96721311,0.037356322,0.036572623
Cricetulus_griseus,80,64,1.6,8.328125,0.19303797,0.19303797
Danio_rerio,532,545,2.0488722,60.743119,0.70394206,0.61004205
Dictyostelium_discoideum_AX4,72,64,1.7777778,15.78125,0.42018779,0.42018779
Drosophila_melanogaster,11132,68722,12.346748,60.257399,13.54621,0.98657082
Emericella_nidulans_FGSC_A4,57,57,2,17.105263,0.65350877,0.64912281
Equus_caballus,6,3,1,0,0.2,0.2
Escherichia_coli_K12,2,1,1,0,1,1
Escherichia_coli_K12_MC4100_BW2952,12,9,1.5,0.77777778,0.45454545,0.45454545
Escherichia_coli_K12_MG1655,1357,1962,2.8916728,8.862895,2.9744676,0.64409171
Escherichia_coli_K12_W3110,3440,23909,13.900581,54.864193,10.788455,0.9941945
Felis_Catus,4,2,1,0,0.33333333,0.33333333
Gallus_gallus,456,472,2.0701754,25.228814,2.454492,0.28155003
Glycine_max,45,39,1.7333333,3.3589744,0.16868687,0.16666667
Hepatitus_C_Virus,493,491,1.9918864,244.00204,0.9919029,0.9919029
Homo_sapiens,28815,1038555,72.084331,467.94499,64.187469,0.99979178
Human_Herpesvirus_1,324,395,2.4382716,41.237975,2.5307878,1
Human_Herpesvirus_2,10,6,1.2,0.33333333,0.17777778,0.17777778
Human_Herpesvirus_3,15,12,1.6,1,0.37142857,0.31428571
Human_Herpesvirus_4,505,543,2.150495,66.451197,7.4223322,0.94931636
Human_Herpesvirus_5,153,140,1.8300654,6.3357143,0.12254902,0.12254902
Human_Herpesvirus_6A,12,8,1.3333333,0.625,0.1969697,0.1969697
Human_Herpesvirus_6B,7,4,1.1428571,0.25,0.23809524,0.23809524
Human_Herpesvirus_7,2,1,1,0,1,1
Human_Herpesvirus_8,904,914,2.0221239,30.821663,2.1121924,0.55867609
Human_Immunodeficiency_Virus_1,1454,1740,2.3933975,140.85115,15.00599,1
Human_Immunodeficiency_Virus_2,63,80,2.5396825,15.775,3.3046595,0.76395289
Human_papillomavirus_10,5,3,1.2,0.33333333,0.4,0.4
Human_papillomavirus_11,497,520,2.0925553,99.667308,5.8053158,0.97609853
Human_papillomavirus_16,2784,3229,2.3196839,841.09972,4.7969966,1
Human_papillomavirus_18,605,615,2.0330579,99.082927,3.1595589,0.98026381
Human_papillomavirus_1a,150,153,2.04,23.764706,1.6785682,0.92268456
Human_papillomavirus_26,7,6,1.7142857,2.5,1,1
Human_papillomavirus_31,541,564,2.0850277,47.047872,2.3240775,0.5813651
Human_papillomavirus_32,66,68,2.0606061,12.352941,1.7314685,1
Human_papillomavirus_33,196,197,2.0102041,45.111675,2.5326531,0.94971219
Human_papillomavirus_35,9,8,1.7777778,3.5,1,1
Human_papillomavirus_38,160,160,2,58.41875,1.2529088,1
Human_papillomavirus_4,8,4,1,0,0.14285714,0.14285714
Human_papillomavirus_41,2,1,1,0,1,1
Human_papillomavirus_45,63,61,1.9365079,19.213115,0.63133641,0.63133641
Human_papillomavirus_5,278,283,2.0359712,74.911661,3.4629509,0.96439239
Human_papillomavirus_52,41,40,1.9512195,19.5,1,1
Human_papillomavirus_54,5,3,1.2,0.33333333,0.4,0.4
Human_papillomavirus_58,12,10,1.6666667,3.6,0.6969697,0.6969697
Human_papillomavirus_6b,499,620,2.4849699,96.546774,15.16486,0.98403232
Human_papillomavirus_7,2,1,1,0,1,1
Human_papillomavirus_8,566,588,2.0777385,111.18707,6.6243034,0.97898621
Human_papillomavirus_9,78,79,2.025641,14.746835,1.6436896,0.71861472
Leishmania_major_Friedlin,2,1,1,0,1,1
Macaca_mulatta,313,306,1.9552716,145.59477,0.91869419,0.91869419
Meleagris_gallopavo,2,1,1,0,1,1
Middle-East_Respiratory_Syndrome-related_Coronavirus,998,1066,2.1362725,150.45497,4.7028058,0.9900081
Monodelphis_domestica,3,2,1.3333333,0.5,1,1
Murid_Herpesvirus_1,2,1,1,0,1,1
Mus_musculus,19181,97387,10.154528,153.12549,32.578452,0.98649112
Mycobacterium_tuberculosis_H37Rv,25,19,1.52,2.6315789,0.25333333,0.25333333
Myotis_lucifugus,2,1,1,0,1,1
Neurospora_crassa_OR74A,37,33,1.7837838,7.7272727,0.43243243,0.43243243
Nicotiana_tomentosiformis,2,1,1,0,1,1
Oryctolagus_cuniculus,352,334,1.8977273,15.550898,0.28536972,0.27057433
Oryza_sativa_Japonica,328,339,2.0670732,82.351032,0.53313568,0.52209667
Ovis_aries,2,1,1,0,1,1
Pan_troglodytes,54,48,1.7777778,18.8125,0.66457023,0.66457023
Pediculus_humanus,4,3,1.5,1,1,1
Plasmodium_falciparum_3D7,1829,3691,4.0360853,118.59117,3.3281666,0.97069401
Rattus_norvegicus,6249,10668,3.4143063,174.67379,26.411331,0.93083129
Ricinus_communis,3,2,1.3333333,0.5,1,1
Saccharomyces_cerevisiae_S288c,7213,195338,54.162762,375.59313,17.912151,0.99944548
Schizosaccharomyces_pombe_972h,3864,14493,7.5015528,87.413786,20.759061,0.94739831
Selaginella_moellendorffii,5,6,2.4,1.5,1.5,1
Severe_acute_respiratory_syndrome_coronavirus,1569,1947,2.4818356,68.56189,4.5329243,0.9987253
Severe_acute_respiratory_syndrome_coronavirus_2,8655,35777,8.2673599,779.57559,57.068412,1
Simian_Immunodeficiency_Virus,21,18,1.7142857,2.0555556,0.30952381,0.27619048
Simian_Virus_40,9,8,1.7777778,3.5,1,1
Solanum_lycopersicum,44,94,4.2727273,5.2659574,0.60042283,0.28224101
Solanum_tuberosum,5,2,0.8,0,0.2,0.2
Sorghum_bicolor,2,1,1,0,1,1
Streptococcus_pneumoniae_ATCCBAA255,6,6,2,2,1,1
Strongylocentrotus_purpuratus,17,16,1.8823529,7.5,1,1
Sus_scrofa,134,110,1.641791,2.0090909,0.057681517,0.052070475
Tobacco_Mosaic_Virus,3,2,1.3333333,0.5,1,1
Ustilago_maydis_521,3,2,1.3333333,0.5,1,1
Vaccinia_Virus,314,290,1.8471338,7.6896552,0.28587127,0.2040862
Vitis_vinifera,2,1,1,0,1,1
Xenopus_laevis,1592,2057,2.5841709,136.32377,11.646199,0.82511868
Zea_mays,21,11,1.047619,0.090909091,0.057142857,0.057142857
