year,n_nodes,n_edges,mean_degree,mean_excess_degree,multiplicity,connected_pairs
1992,435,468,2.1517241,2.4978632,0.0099793421,0.0096085598
1993,1557,1809,2.3236994,2.8551686,0.0089561529,0.0070277196
1994,3258,4494,2.7587477,3.8415665,0.12585275,0.050461272
1995,5414,8461,3.1256003,4.6422409,0.51286901,0.13458597
1996,7998,14009,3.5031258,5.6619316,1.3168744,0.27403665
1997,11227,22325,3.9770197,7.0649496,2.8866193,0.39065259
1998,15458,34068,4.4078147,8.3482153,4.1372967,0.4718014
1999,20328,50135,4.9326053,10.244979,5.4777176,0.54743664
2000,25177,67846,5.3895222,12.524688,6.3932984,0.58723262
2001,31305,94583,6.0426769,15.274246,7.8460087,0.62270923
2002,37366,120446,6.4468233,17.335852,9.0837444,0.6492197
2003,43922,150796,6.8665361,19.81152,10.137328,0.67465221
2004,51340,185918,7.2426178,22.141562,11.645092,0.69408622
2005,59087,224210,7.5891482,23.969466,12.566989,0.71361756
2006,66749,265914,7.96758,26.180566,13.515663,0.72997118
2007,74951,308999,8.2453603,27.795478,14.183956,0.74112412
2008,84028,367331,8.7430618,31.461069,15.597271,0.75718719
2009,93243,427830,9.1766674,34.288201,16.81009,0.77016588
2010,105045,503265,9.5818935,36.654133,17.61873,0.77645573
2011,117401,584182,9.9519084,39.082307,18.548951,0.78507007
2012,130253,672952,10.332998,41.550727,19.673778,0.79654768
2013,144877,779287,10.757912,44.119747,20.818695,0.80527165
2014,159624,900765,11.286085,47.881161,22.057974,0.81399182
2015,175668,1033207,11.763178,50.830123,23.519334,0.82265181
2016,192399,1178682,12.252475,53.980225,25.187513,0.83144308
2017,209639,1337755,12.762463,57.20241,26.775803,0.83763051
2018,227703,1511295,13.274265,60.965879,28.737567,0.8456839
2019,248086,1722787,13.888627,66.041078,30.879575,0.85117575
2020,269881,1959333,14.519977,71.611895,33.239251,0.85804098
2021,290367,2200280,15.155166,77.592692,35.356969,0.86479624
2022,310116,2458792,15.857241,84.337991,37.367146,0.87031378
2023,331540,2736330,16.506787,91.359972,39.834296,0.87581744
2024,354095,3045595,17.202135,101.11476,42.221129,0.88008767
2025,380249,3489825,18.355472,115.33087,45.028963,0.88467833
2026,393467,3745879,19.040372,125.02117,46.280988,0.88699621
