year,n_nodes,n_edges,mean_degree,mean_excess_degree,multiplicity,connected_pairs
1989,8,4,1,0,0.14285714,0.14285714
1990,37,38,2.0540541,3.1315789,0.07957958,0.07957958
1991,92,76,1.6521739,2.4868421,0.032967033,0.02938366
1992,450,342,1.52,3.2339181,0.011650582,0.0084830488
1993,1032,818,1.5852713,2.9731051,0.0050620681,0.0042763479
1994,1835,1642,1.7896458,3.7612667,0.0044137529,0.0039472394
1995,2737,2490,1.8195104,3.5534137,0.0065655934,0.0055122354
1996,3621,3332,1.8403756,3.5162065,0.0076180842,0.0059204975
1997,4826,4544,1.883133,3.5977113,0.042604115,0.020709413
1998,6669,6347,1.9034338,3.6530644,0.17229303,0.042838126
1999,8780,8765,1.9965831,4.13417,0.28417488,0.075056234
2000,11186,11304,2.0210978,4.1034147,0.38479404,0.092262816
2001,13589,13996,2.0599014,4.1779794,0.41900465,0.11288905
2002,16544,17430,2.1071083,4.24607,0.46917757,0.12876311
2003,19950,21652,2.1706266,4.3862923,0.56685173,0.15660948
2004,24427,29215,2.3920252,7.8690056,0.74217768,0.18776128
2005,29775,36375,2.4433249,7.3844399,0.86928719,0.20195279
