network,n,E,R,B_mean,B_std,B_runs
karate/77,34,77,3,1.0,0.0,"[1, 1, 1]"
montreal,29,75,3,1.0,0.0,"[1, 1, 1]"
windsurfers,43,336,3,2.3333333333333335,0.4714045207910317,"[2, 2, 3]"
macaque_neural,47,313,3,4.666666666666667,0.4714045207910317,"[5, 4, 5]"
sp_kenyan_households,47,504,3,6.333333333333333,0.4714045207910317,"[6, 6, 7]"
contiguous_usa,49,107,3,2.3333333333333335,0.4714045207910317,"[2, 3, 2]"
cs_department,61,353,3,4.333333333333333,0.4714045207910317,"[4, 5, 4]"
dolphins,62,159,3,2.3333333333333335,0.4714045207910317,"[2, 2, 3]"
terrorists_911,62,152,3,2.6666666666666665,0.4714045207910317,"[3, 3, 2]"
train_terrorists,64,243,3,6.666666666666667,1.699673171197595,"[6, 5, 9]"
baseball/player-player,45,947,3,1.0,0.0,"[1, 1, 1]"
blumenau_drug,75,181,3,1.0,0.0,"[1, 1, 1]"
sp_hospital,75,1139,3,2.3333333333333335,0.4714045207910317,"[2, 2, 3]"
lesmis,77,254,3,7.0,0.816496580927726,"[6, 7, 8]"
sp_office,92,755,3,6.0,1.632993161855452,"[4, 6, 8]"
reality_mining,96,2539,3,2.3333333333333335,0.4714045207910317,"[3, 2, 2]"
polbooks,105,441,3,5.0,2.160246899469287,"[3, 8, 4]"
game_thrones,107,352,3,3.6666666666666665,0.9428090415820634,"[3, 5, 3]"
moviegalaxies/178,109,326,3,3.6666666666666665,0.4714045207910317,"[3, 4, 4]"
adjnoun,112,425,3,1.0,0.0,"[1, 1, 1]"
sp_hypertext/contacts,113,2196,3,1.0,0.0,"[1, 1, 1]"
football,115,613,3,9.666666666666666,0.4714045207910317,"[9, 10, 10]"
football_tsevans,115,613,3,10.333333333333334,0.4714045207910317,"[10, 11, 10]"
sp_high_school_new/2012,180,2220,3,8.0,1.4142135623730951,"[9, 9, 6]"
student_cooperation,141,256,3,4.666666666666667,0.4714045207910317,"[4, 5, 5]"
jazz_collab,198,2742,3,15.0,2.160246899469287,"[14, 18, 13]"
interactome_pdz,161,209,3,3.0,0.816496580927726,"[3, 4, 2]"
sp_primary_school,242,8317,3,17.666666666666668,0.9428090415820634,"[17, 17, 19]"
contact,274,2124,3,4.0,2.160246899469287,"[7, 2, 3]"
malaria_genes/HVR_1,307,2812,3,13.333333333333334,0.4714045207910317,"[14, 13, 13]"
sp_high_school/facebook,156,1437,3,9.333333333333334,0.9428090415820634,"[10, 8, 10]"
marvel_partnerships,181,224,3,2.6666666666666665,0.4714045207910317,"[2, 3, 3]"
facebook_friends,329,1954,3,10.0,0.816496580927726,"[10, 11, 9]"
london_transport,369,430,3,1.0,0.0,"[1, 1, 1]"
ugandan_village/friendship-16,372,1372,3,1.0,0.0,"[1, 1, 1]"
sp_colocation/SFHH,403,73557,3,1.0,0.0,"[1, 1, 1]"
webkb/webkb_washington_cocite,434,15231,3,23.333333333333332,6.128258770283412,"[32, 19, 19]"
eu_airlines,417,2953,3,12.666666666666666,3.0912061651652345,"[17, 11, 10]"
us_congress/H110,452,70923,3,22.0,0.816496580927726,"[22, 21, 23]"
celegans_metabolic,453,2025,3,15.333333333333334,1.247219128924647,"[14, 17, 15]"
celegans_2019/male_gap_junction_corrected,484,1597,3,13.666666666666666,7.408703590297622,"[10, 24, 7]"
wiki_science,677,6517,3,28.333333333333332,4.714045207910316,"[25, 35, 25]"
copenhagen/fb_friends,800,6418,3,38.333333333333336,1.699673171197595,"[40, 39, 36]"
product_space/HS,866,2532,3,12.0,0.816496580927726,"[13, 11, 12]"
euroroad,1039,1305,3,1.6666666666666667,0.4714045207910317,"[1, 2, 2]"
new_zealand_collab,1463,4246,3,12.666666666666666,2.494438257849294,"[10, 16, 12]"
board_directors/net1m_2008-06-01,852,2798,3,27.666666666666668,0.9428090415820634,"[27, 27, 29]"
netscience,379,914,3,12.666666666666666,0.4714045207910317,"[12, 13, 13]"
collins_yeast,1004,8319,3,27.666666666666668,4.109609335312651,"[23, 33, 27]"
bible_nouns,1707,9059,3,42.666666666666664,0.9428090415820634,"[44, 42, 42]"
interactome_yeast,1458,1948,3,1.3333333333333333,0.4714045207910317,"[1, 1, 2]"
kegg_metabolic/hsa,1865,5769,3,21.333333333333332,4.642796092394706,"[23, 15, 26]"
dnc,849,10384,3,22.333333333333332,1.8856180831641267,"[21, 25, 21]"
urban_streets/ahmedabad,2870,4375,3,14.0,1.4142135623730951,"[13, 16, 13]"
drosophila_flybi,2705,8458,3,16.666666666666668,12.256517540566822,"[8, 8, 34]"
interactome_vidal,2783,6007,3,14.666666666666666,2.357022603955158,"[18, 13, 13]"
power,4941,6594,3,11.666666666666666,2.0548046676563256,"[9, 14, 12]"
facebook_organizations/L1,5793,30753,3,35.0,4.898979485566356,"[29, 41, 35]"
fullerene_structures/C6000,6000,9000,3,23.333333333333332,3.8586123009300755,"[25, 18, 27]"
celegans_interactomes/IntegratedNetwork,5966,177161,3,104.0,8.04155872120988,"[112, 107, 93]"
reactome,5973,145778,3,118.66666666666667,3.2998316455372216,"[118, 123, 115]"
route_views/20000102,6474,12572,3,18.333333333333332,6.236095644623235,"[20, 25, 10]"
sp_infectious,410,2765,3,14.333333333333334,0.4714045207910317,"[15, 14, 14]"
physics_collab/arXiv,8798,27416,3,87.33333333333333,3.39934634239519,"[86, 84, 92]"
tree-of-life/9606,16415,440122,3,260.3333333333333,24.567367696917707,"[263, 229, 289]"
marvel_universe,19182,95445,3,129.33333333333334,2.8674417556808756,"[126, 129, 133]"
internet_as,22963,48436,3,53.0,2.160246899469287,"[52, 51, 56]"
topology,34761,107720,2,91.0,6.0,"[97, 85]"
arxiv_collab/cond-mat-2005,36458,171735,2,281.0,9.0,"[272, 290]"
marker_cafe,69317,1644794,2,193.5,13.5,"[207, 180]"
livemocha,104103,2193083,2,313.5,45.5,"[268, 359]"
ego_social/gplus_combined,107614,12238285,2,918.5,63.5,"[855, 982]"
