system,label,n,E,R,B_mean,B_std,B_runs
as733,19971108,3015,5156,3,11.333333333333334,0.9428090415820634,"[12, 12, 10]"
as733,19971130,3106,5336,3,10.333333333333334,1.8856180831641267,"[9, 13, 9]"
as733,19971221,3184,5656,3,13.0,4.546060565661952,"[8, 12, 19]"
as733,19980112,3246,5674,3,12.0,2.160246899469287,"[11, 15, 10]"
as733,19980202,3315,5824,3,11.0,2.943920288775949,"[15, 10, 8]"
as733,19980225,3414,6071,3,19.0,12.192894105447921,"[13, 36, 8]"
as733,19980318,3455,6168,3,10.666666666666666,1.8856180831641267,"[8, 12, 12]"
as733,19980410,3585,6447,3,11.666666666666666,1.8856180831641267,"[9, 13, 13]"
as733,19980502,3618,6583,3,9.333333333333334,3.0912061651652345,"[5, 11, 12]"
as733,19980526,3682,6698,3,13.0,2.449489742783178,"[13, 16, 10]"
as733,19980616,3741,6821,3,11.0,1.4142135623730951,"[10, 13, 10]"
as733,19980712,3812,6896,3,14.333333333333334,2.8674417556808756,"[11, 18, 14]"
as733,19980803,3877,7033,3,12.333333333333334,3.681787005729087,"[12, 8, 17]"
as733,19980825,4008,7308,3,21.0,16.268579122549905,"[9, 10, 44]"
as733,19980916,4107,7549,3,14.333333333333334,4.921607686744467,"[8, 20, 15]"
as733,19981008,4173,7815,3,24.0,13.589211407093005,"[43, 12, 17]"
as733,19981029,4235,7674,3,13.0,0.816496580927726,"[14, 12, 13]"
as733,19981120,4341,7949,3,17.0,2.943920288775949,"[16, 14, 21]"
as733,19981212,4407,8142,3,15.333333333333334,1.247219128924647,"[14, 17, 15]"
as733,19990102,541,1233,3,4.333333333333333,0.9428090415820634,"[3, 5, 5]"
as733,19990127,4570,8523,3,13.666666666666666,0.9428090415820634,"[15, 13, 13]"
as733,19990217,4661,8715,3,16.0,5.354126134736337,"[9, 17, 22]"
as733,19990311,4773,8938,3,18.0,0.816496580927726,"[19, 17, 18]"
as733,19990401,4872,9151,3,14.666666666666666,0.4714045207910317,"[15, 15, 14]"
as733,19990425,4969,9485,3,13.666666666666666,2.6246692913372702,"[16, 15, 10]"
as733,19990516,5080,9670,3,23.333333333333332,14.055445761538676,"[43, 11, 16]"
as733,19990608,5190,9917,3,13.333333333333334,2.0548046676563256,"[13, 16, 11]"
as733,19990630,5344,10210,3,13.0,1.4142135623730951,"[12, 12, 15]"
