model,n_target,seed,n,E,B
ls,200,0,200,397,5
ls,200,1,200,397,5
ls,200,2,200,397,7
ls,200,3,200,397,6
ls,200,4,200,397,4
ls,200,5,200,397,7
ls,200,6,200,397,7
ls,200,7,200,397,7
ls,200,8,200,397,12
ls,200,9,200,397,7
ds,200,0,200,313,6
ds,200,1,200,390,4
ds,200,2,200,284,1
ds,200,3,200,397,6
ds,200,4,200,339,4
ds,200,5,200,309,5
ds,200,6,200,269,2
ds,200,7,200,257,2
ds,200,8,200,322,5
ds,200,9,200,340,4
ls,400,0,400,797,8
ls,400,1,400,797,9
ls,400,2,400,797,9
ls,400,3,400,797,10
ls,400,4,400,797,8
ls,400,5,400,797,9
ls,400,6,400,797,9
ls,400,7,400,797,8
ls,400,8,400,797,10
ls,400,9,400,797,10
ds,400,0,400,625,6
ds,400,1,400,762,9
ds,400,2,400,617,6
ds,400,3,400,806,13
ds,400,4,400,652,5
ds,400,5,400,667,4
ds,400,6,400,588,6
ds,400,7,400,560,5
ds,400,8,400,615,4
ds,400,9,400,681,8
ls,800,0,800,1597,13
ls,800,1,800,1597,16
ls,800,2,800,1597,15
ls,800,3,800,1597,14
ls,800,4,800,1597,11
ls,800,5,800,1597,14
ls,800,6,800,1597,16
ls,800,7,800,1597,13
ls,800,8,800,1597,14
ls,800,9,800,1597,12
ds,800,0,800,1247,7
ds,800,1,800,1438,7
ds,800,2,800,1267,8
ds,800,3,800,1529,16
ds,800,4,800,1404,8
ds,800,5,800,1344,9
ds,800,6,800,1192,15
ds,800,7,800,1189,7
ds,800,8,800,1277,6
ds,800,9,800,1359,24
ls,1600,0,1600,3197,20
ls,1600,1,1600,3197,21
ls,1600,2,1600,3197,19
ls,1600,3,1600,3197,20
ls,1600,4,1600,3197,23
ls,1600,5,1600,3197,19
ls,1600,6,1600,3197,20
ls,1600,7,1600,3197,18
ls,1600,8,1600,3197,20
ls,1600,9,1600,3197,20
ds,1600,0,1600,2630,15
ds,1600,1,1600,2862,20
ds,1600,2,1600,2604,15
ds,1600,3,1600,2955,11
ds,1600,4,1600,2821,13
ds,1600,5,1600,2658,13
ds,1600,6,1600,2496,13
ds,1600,7,1600,2466,12
ds,1600,8,1600,2699,19
ds,1600,9,1600,2776,14
ls,3200,0,3200,6397,30
ls,3200,1,3200,6397,32
ls,3200,2,3200,6397,28
ls,3200,3,3200,6397,30
ls,3200,4,3200,6397,32
ls,3200,5,3200,6397,30
ls,3200,6,3200,6397,35
ls,3200,7,3200,6397,30
ls,3200,8,3200,6397,69
ls,3200,9,3200,6397,31
ds,3200,0,3200,5311,24
ds,3200,1,3200,5652,20
ds,3200,2,3200,5394,24
ds,3200,3,3200,5776,24
ds,3200,4,3200,5573,16
ds,3200,5,3200,5295,23
ds,3200,6,3200,5074,22
ds,3200,7,3200,5107,87
ds,3200,8,3200,5555,22
ds,3200,9,3200,5745,28
ls,6400,0,6400,12797,44
ls,6400,1,6400,12797,41
ls,6400,2,6400,12797,42
ls,6400,3,6400,12797,45
ls,6400,4,6400,12797,46
ls,6400,5,6400,12797,49
ls,6400,6,6400,12797,47
ls,6400,7,6400,12797,46
ls,6400,8,6400,12797,45
ls,6400,9,6400,12797,45
ds,6400,0,6400,10888,38
ds,6400,1,6400,11516,36
ds,6400,2,6400,10868,29
ds,6400,3,6400,11285,40
ds,6400,4,6400,11347,34
ds,6400,5,6400,10812,33
ds,6400,6,6400,10337,37
ds,6400,7,6400,10491,36
ds,6400,8,6400,11007,35
ds,6400,9,6400,11563,32
ls,12800,0,12800,25597,66
ls,12800,1,12800,25597,64
ls,12800,2,12800,25597,70
ls,12800,3,12800,25597,62
ls,12800,4,12800,25597,69
ls,12800,5,12800,25597,60
ls,12800,6,12800,25597,66
ls,12800,7,12800,25597,70
ls,12800,8,12800,25597,70
ls,12800,9,12800,25597,68
ds,12800,0,12800,22294,49
ds,12800,1,12800,22502,42
ds,12800,2,12800,22394,49
