97 networks total; 0 already done
karate/77                                      n=      34  B=    1.0 +/-  0.0  (R=3, 0s)
dutch_criticism: FAILED OSError: Error reading graph: invalid property type 253  (0s)
montreal                                       n=      29  B=    1.0 +/-  0.0  (R=3, 0s)
windsurfers                                    n=      43  B=    2.3 +/-  0.5  (R=3, 0s)
macaque_neural                                 n=      47  B=    4.7 +/-  0.5  (R=3, 0s)
sp_kenyan_households                           n=      47  B=    6.3 +/-  0.5  (R=3, 0s)
contiguous_usa                                 n=      49  B=    2.3 +/-  0.5  (R=3, 0s)
cs_department                                  n=      61  B=    4.3 +/-  0.5  (R=3, 0s)
dolphins                                       n=      62  B=    2.3 +/-  0.5  (R=3, 0s)
terrorists_911                                 n=      62  B=    2.7 +/-  0.5  (R=3, 0s)
train_terrorists                               n=      64  B=    6.7 +/-  1.7  (R=3, 0s)
baseball/player-player                         n=      45  B=    1.0 +/-  0.0  (R=3, 0s)
blumenau_drug                                  n=      75  B=    1.0 +/-  0.0  (R=3, 0s)
sp_hospital                                    n=      75  B=    2.3 +/-  0.5  (R=3, 0s)
lesmis                                         n=      77  B=    7.0 +/-  0.8  (R=3, 0s)
sp_office                                      n=      92  B=    6.0 +/-  1.6  (R=3, 0s)
reality_mining                                 n=      96  B=    2.3 +/-  0.5  (R=3, 13s)
polbooks                                       n=     105  B=    5.0 +/-  2.2  (R=3, 0s)
game_thrones                                   n=     107  B=    3.7 +/-  0.9  (R=3, 0s)
moviegalaxies/178                              n=     109  B=    3.7 +/-  0.5  (R=3, 0s)
adjnoun                                        n=     112  B=    1.0 +/-  0.0  (R=3, 0s)
sp_hypertext/contacts                          n=     113  B=    1.0 +/-  0.0  (R=3, 1s)
football                                       n=     115  B=    9.7 +/-  0.5  (R=3, 1s)
football_tsevans                               n=     115  B=   10.3 +/-  0.5  (R=3, 1s)
sp_high_school_new/2012                        n=     180  B=    8.0 +/-  1.4  (R=3, 1s)
student_cooperation                            n=     141  B=    4.7 +/-  0.5  (R=3, 1s)
jazz_collab                                    n=     198  B=   15.0 +/-  2.2  (R=3, 1s)
interactome_pdz                                n=     161  B=    3.0 +/-  0.8  (R=3, 0s)
sp_primary_school                              n=     242  B=   17.7 +/-  0.9  (R=3, 2s)
contact                                        n=     274  B=    4.0 +/-  2.2  (R=3, 0s)
malaria_genes/HVR_1                            n=     307  B=   13.3 +/-  0.5  (R=3, 0s)
sp_high_school/facebook                        n=     156  B=    9.3 +/-  0.9  (R=3, 0s)
marvel_partnerships                            n=     181  B=    2.7 +/-  0.5  (R=3, 0s)
facebook_friends                               n=     329  B=   10.0 +/-  0.8  (R=3, 0s)
london_transport                               n=     369  B=    1.0 +/-  0.0  (R=3, 0s)
ugandan_village/friendship-16                  n=     372  B=    1.0 +/-  0.0  (R=3, 1s)
sp_colocation/SFHH                             n=     403  B=    1.0 +/-  0.0  (R=3, 6s)
webkb/webkb_washington_cocite                  n=     434  B=   23.3 +/-  6.1  (R=3, 1s)
eu_airlines                                    n=     417  B=   12.7 +/-  3.1  (R=3, 1s)
us_congress/H110                               n=     452  B=   22.0 +/-  0.8  (R=3, 6s)
celegans_metabolic                             n=     453  B=   15.3 +/-  1.2  (R=3, 0s)
celegans_2019/male_gap_junction_corrected      n=     484  B=   13.7 +/-  7.4  (R=3, 0s)
wiki_science                                   n=     677  B=   28.3 +/-  4.7  (R=3, 1s)
internet_top_pop/Kdl: FAILED OSError: Error reading graph: invalid property type 52  (0s)
copenhagen/fb_friends                          n=     800  B=   38.3 +/-  1.7  (R=3, 2s)
product_space/HS                               n=     866  B=   12.0 +/-  0.8  (R=3, 1s)
budapest_connectome/all_1m: FAILED MemoryError:   (0s)
euroroad                                       n=    1039  B=    1.7 +/-  0.5  (R=3, 0s)
new_zealand_collab                             n=    1463  B=   12.7 +/-  2.5  (R=3, 1s)
board_directors/net1m_2008-06-01               n=     852  B=   27.7 +/-  0.9  (R=3, 1s)
netscience                                     n=     379  B=   12.7 +/-  0.5  (R=3, 0s)
collins_yeast                                  n=    1004  B=   27.7 +/-  4.1  (R=3, 1s)
bible_nouns                                    n=    1707  B=   42.7 +/-  0.9  (R=3, 4s)
interactome_yeast                              n=    1458  B=    1.3 +/-  0.5  (R=3, 1s)
kegg_metabolic/hsa                             n=    1865  B=   21.3 +/-  4.6  (R=3, 2s)
dnc                                            n=     849  B=   22.3 +/-  1.9  (R=3, 1s)
urban_streets/ahmedabad                        n=    2870  B=   14.0 +/-  1.4  (R=3, 1s)
drosophila_flybi                               n=    2705  B=   16.7 +/- 12.3  (R=3, 3s)
interactome_vidal                              n=    2783  B=   14.7 +/-  2.4  (R=3, 2s)
power                                          n=    4941  B=   11.7 +/-  2.1  (R=3, 2s)
facebook_organizations/L1                      n=    5793  B=   35.0 +/-  4.9  (R=3, 6s)
fullerene_structures/C6000                     n=    6000  B=   23.3 +/-  3.9  (R=3, 3s)
